key,input,activity10
GAAKALASJNGQKD-UHFFFAOYSA-N,Nc1ccc(CCN2CCN(c3cccc(C(F)(F)F)c3)CC2)cc1,0.8019802
RJTJMAVCPOTSLB-UHFFFAOYSA-N,CCNc1nc2c(c(C(N)=O)n1)CN(C(=O)CCc1ccc(OC(F)(F)F)cc1)CC2,0.47524753
NILACXQOPZTKMT-UHFFFAOYSA-N,Cc1ccc(N2CCN(CCc3nc4cc(NC(=O)c5ccco5)ccc4n3C)CC2)cc1,0.74174917
VVSHUHWQCFJNOL-UHFFFAOYSA-N,CCCCN(C)C(=S)Nc1ccc2nc(N3CCN(CC)CC3)cc(C)c2c1,0.5874587
QDWSBBOTCRPBCJ-UHFFFAOYSA-N,CC(=O)NCCc1ccccc1-c1ccc(C(CN)Cc2ccc(OCCOc3c(Cl)cc(C)cc3Cl)cc2)c(C)c1,0.8960396
YBUROUGFUOVFDR-UHFFFAOYSA-N,CCOc1ccc(N2C(=O)CC(N3CCN(C4CCc5ccccc5C4)CC3)C2=O)cc1,0.6782178
MBEDJOQGQILOOU-UHFFFAOYSA-N,Cc1ncc(OCC2(c3cc(F)cc(F)c3)CC2C(=O)Nc2ccc(F)cn2)c(C)n1,0.29744226
LTPMNMDUGIXHAK-UHFFFAOYSA-N,CCCN1CCC(=O)N(C(CSc2ccc(OC)cc2)c2ccccc2)CC1,0.7037954
JVRULJDJPNCHCE-UHFFFAOYSA-N,COc1ccc(NC(=O)c2cc(Cl)ccc2NC(=O)c2ccco2)c(OC)c1,0.43316832
LZFOFBFQAVQLBZ-UHFFFAOYSA-N,O=C(Nc1ccc(S(=O)(=O)N2CCCCCC2)cc1)c1ccco1,0.5668317
IRIKGZKNZSOKDY-UHFFFAOYSA-N,Cc1cc(C)c(C)c(S(=O)(=O)Nc2ccccc2C(=O)NCCCN2CCOCC2)c1C,0.48679867
KBMDHTADYSXHPZ-UHFFFAOYSA-N,C=C1CC2CC1C1C(=O)N(CC3CCCCC3CN3CCN(c4nsc5ccccc45)CC3)C(=O)C21,0.47112212
XETMHMVSMOVVBI-UHFFFAOYSA-N,CCC1(c2cccc(NS(C)(=O)=O)c2)C2CN(CCCC3(O)CCCCC3)CC21,0.50866336
QFFCLOOUBDASLM-UHFFFAOYSA-N,Cc1c(CN2CCC(CO)(CCOc3ccccc3)CC2)[nH]c2ccc(Cl)cc12,0.6826733
JIXXDSXYICGICA-UHFFFAOYSA-N,CCN1CCN(c2nn3c(=O)c4ccccc4nc3c3ccccc23)CC1,0.670297
DEGNGOWCMPZWDE-UHFFFAOYSA-N,Cc1ccc2c(N3CCN(CCc4cccc5c4ccc(=O)n5C)C(C)C3)cccc2n1,0.9405941
JKDVQSBZXOTCNO-UHFFFAOYSA-N,COc1ccc(C#N)cc1-c1ccnc(Nc2ccc(N3CCOCC3)c(OC)c2)c1,0.6506365
VUXRYYSKTWDPLO-UHFFFAOYSA-N,CCOC(=O)C1(CCc2ccccc2)CCN(Cc2ccc(NC(C)=O)cc2)CC1,0.60231024
FZHXXZPDCPJXBX-UHFFFAOYSA-N,COc1cc(-c2cn(C3CCc4ccccc4N(CCF)C3=O)nn2)ccc1-n1cnc(C)c1,0.8980198
BQASIGQKCIQFFB-UHFFFAOYSA-N,Oc1ccccc1C1=Nc2ncnn2C(c2ccc(F)cc2)C1,0.5247525
GMHPZRMQPJRBMJ-UHFFFAOYSA-N,COc1ccc(CN2CCC(C(=O)Nc3ccc(Oc4ccccc4)nc3)CC2)cc1F,0.6138614
BXKKCSMTTGFIFT-UHFFFAOYSA-N,N#Cc1ccc(OCC(=O)NCC2(N3CCCCC3)CCCCC2)cc1,0.5144389
ZQBGOXOXAGECKF-UHFFFAOYSA-N,COc1ccccc1Nc1nc(N)nc(CN2CCN(Cc3ccc4c(c3)OCO4)CC2)n1,0.5664191
WHJCOBIQSLFYJH-UHFFFAOYSA-N,CCOc1ccccc1NC(=O)C(NCC1(N2CCCCC2)CCCCC1)c1ccccc1,0.6712046
QTUUHVJSUGAFNA-UHFFFAOYSA-N,CCCCn1nc(C(=O)Nc2cccc(C(=O)NC3CC3)c2)c2ccccc2c1=O,0.21534653
ZOTSXTWPWNFHMW-UHFFFAOYSA-N,CCOC(=O)C1CCN(C(C)C(=O)c2c(C)[nH]c3cc(C)ccc23)CC1,0.4530646
ZQJISDRYHFEXMJ-UHFFFAOYSA-N,O=C(NCC1(O)CCC(COc2cccc(Cl)c2)CC1)c1ccc(O)cc1,0.4438944
XFSKLMQOZIPOGJ-UHFFFAOYSA-N,CN1CCN(CC(=O)Nc2c(C(=O)c3ccccc3)oc3ccccc23)CC1,0.37128714
KEJRXUQUXVOIHT-UHFFFAOYSA-N,CC(C)C(CN1CCC(C)(c2cccc(F)c2)C(C)C1)NC(=O)C1Cc2ccc(O)cc2CN1,0.5585809
XNMKSNLYJQYQSZ-UHFFFAOYSA-N,Cc1ccc(-c2nnc(CCCCN3CC4CC4(c4ccc(C(F)(F)F)cc4)C3)n2C)cn1,0.8960396
JIOZLNOPICWVHE-UHFFFAOYSA-N,CC1CCN(CCCNC(=O)c2ccc(CSCc3cccc(Cl)c3)o2)CC1,0.8094059
KDBMTBGGSOYBFT-UHFFFAOYSA-N,N#Cc1nc(COc2ccc(F)cc2)oc1N1CCN(Cc2ccccc2)CC1,0.69224423
HHDGXMRWMSAWSO-UHFFFAOYSA-N,CCOc1cccc(NC(=O)c2cccc(NC(=O)C3CCCC3)c2)c1,0.35643566
ZROZNHFYOJBHID-UHFFFAOYSA-N,CCN1CCNC(C(=O)N2CCN(C(=O)Nc3ccc(Cl)c(Cl)c3)CC2)C1,0.25825083
YAFLHMNFMQBILY-UHFFFAOYSA-N,CCN1CCN(c2ncnc3scc(-c4ccc(C)c(C)c4)c23)CC1,0.54554456
PKPRNQDECQXHQO-UHFFFAOYSA-N,COc1ccc(Cl)cc1/N=C(\N)Nc1nc(C)cc(C)n1,0.25528052
YMFRPPUSWRHMPF-UHFFFAOYSA-N,COc1ccccc1N1CCN(CCCCNS(=O)(=O)c2ccc(C)cc2)CC1,0.47524753
YFDSXQBECWIDKY-UHFFFAOYSA-N,Cc1cc(C(N)=O)nn1-c1cccc(-c2c(C(F)(F)F)cccc2C(F)(F)F)c1,0.3980198
PRVLLHHEUALTPP-UHFFFAOYSA-N,COc1ccc(NC(=O)c2ccco2)cc1NC(=O)c1cccc(OC(C)C)c1,0.34653464
QAGSVJPHOMMDJM-OUKQBFOZSA-N,NC(=O)C(NC1CCC(c2c[nH]c3ccccc23)CC1)C1CCN(C(=O)/C=C/c2c(F)cccc2F)CC1,0.5033003
WCNNBKIYWOWYQW-UHFFFAOYSA-N,COC1(c2cc(C(F)(F)F)cc(C(F)(F)F)c2)CCN(C2(c3ccccc3)CCC(N3CCC4(CCOC4)CC3)CC2)C1=O,0.9851485
SRABAOQNRRWRGL-UHFFFAOYSA-N,Cc1ccc(NC(=S)N(CCCN2CCC(C)CC2)Cc2ccco2)cc1C,0.7330858
XHGUXJHPFQFDCQ-UHFFFAOYSA-N,CSc1cnc(NC(=O)C(CC2CCCC2)c2ccc(S(C)(=O)=O)c(Cl)c2)cn1,0.4059406
YNYCCCCIGYKPGZ-UHFFFAOYSA-N,CCN(CC)CCCNC(=O)c1[nH]c2ccccc2c1Sc1ccc(Cl)cc1,0.54480195
HIVHEOCGLZASLB-UHFFFAOYSA-N,Cc1nc(C)c(-c2nnc(SCCCN3CCC4CC4(c4ccc(C(F)(F)F)cc4)CC3)n2C)s1,1.0
CKRKDGSRGPCCPY-UHFFFAOYSA-N,Cc1ccc(S(=O)(=O)Nc2cccc(C(=O)NCC3(N4CCCCC4)CCCCC3)c2)cc1F,0.5247525
YDYLYGFSWXIZCV-UHFFFAOYSA-N,CSc1ccccc1OCc1cc(C(=O)NCC(C)(C)N2CCOCC2)no1,0.5294554
ZWHCNBGWXHQKLW-UHFFFAOYSA-N,N=c1nc(N)n(Cc2ccccc2C(F)(F)F)nc1-c1cccc(Cl)c1Cl,0.55775577
QKARRNTUMOYKQR-UHFFFAOYSA-N,CCC(=O)c1cc(F)ccc1OCC(=O)N1CCN(c2ccc(F)cc2)CC1,0.48514852
BFJDEOSAKWNDTO-UHFFFAOYSA-N,CCc1ccc(S(=O)(=O)NC2c3cc(NC(=O)C4CCCN4Cc4cccc(Cl)c4)ccc3CCC2O)cc1,0.6254125
ZAYGFBNSRVJAAK-UHFFFAOYSA-N,Cc1nc2ccccn2c1CN(C)C(=O)C1CCC(=O)N(CCc2cccc(F)c2)C1,0.44454268
QKSVNBWCNXZWFH-UHFFFAOYSA-N,Cc1ccccc1CN1CCN(C(=O)c2cc(-c3ccncc3)nc3ccccc23)CC1,0.6707921
AHVNWELDVAWIPM-UHFFFAOYSA-N,COCCN1CCCC(Cn2c(-c3ccccc3C)nc3cc(-c4ccc(Cl)cc4)sc3c2=O)C1,0.8032178
SZROVVQEPDFVPN-UHFFFAOYSA-N,O=C(c1cc(-c2ccc(Cl)cc2Cl)on1)N1CCN(C(=O)c2ccco2)CC1,0.42574257
BEJVCYTZJSCWPG-UHFFFAOYSA-N,CSc1cccc(N2CCN(CCCNC(=S)Nc3ccc(F)cc3)CC2)c1,0.7702145
GDFHWMRKPNTHRO-UHFFFAOYSA-N,c1ccc(-c2nc(N3CCCCCC3)c3ccccc3n2)nc1,0.6039604
NDCFZCPGTKKFMD-UHFFFAOYSA-N,CC(C)C(=O)NC1CCc2ccc(CCN3CCN(c4nsc5ccccc45)CC3)cc21,0.9950495
WMBFARVSOWVDII-UHFFFAOYSA-N,C=Cc1ccc2c(c1)OCCOCCOCCOCCOCCO2,0.35247526
KNRRJCZEGGOTPL-UHFFFAOYSA-N,C=CCN(C(=O)Cc1ccc(Cl)cc1)C1CCN(CC2CN(C(=O)C3CCCC3)CC2(O)c2ccccc2)CC1,0.48762375
HJNQYIKLYITOGQ-UHFFFAOYSA-N,O=C(NCC(c1ccsc1)N1CCCCCC1)c1ccc(C(F)(F)F)cc1,0.5891089
JGTFYTXGSPCVDN-UHFFFAOYSA-N,CN(C)Cc1ccc2c(c1)CCC(N(C)C(=O)c1ccc(-c3ccc(Cl)cc3)cn1)C2,0.7970297
LQMPHJLROVSMNQ-UHFFFAOYSA-N,O=C(C1CCC1)N1CCN(c2ccnc3cc(Cl)ccc23)CC1,0.4950495
BDBDYFWUCQEXEB-UHFFFAOYSA-N,O=S(=O)(NCCCCN1CCC(c2noc3cc(F)ccc23)CC1)c1cccs1,0.37128714
YDRHHGWWKANBLI-UHFFFAOYSA-N,COc1cccc(OCCOCC(O)CN2CCN(Cc3ccc(Cl)cc3)CC2)c1,0.8675153
ODDAUEGZSNPDPQ-UHFFFAOYSA-N,CCOc1ccccc1CN1CCN(CC2=Cc3cc(OC)ccc3OC2)CC1CCO,0.5891089
QZYBAPIBVUQAFH-UHFFFAOYSA-N,CC(C)S(=O)(=O)N1CCN(c2ccnc3cc(Cl)ccc23)CC1,0.589934
YPLSAANPEOTTRA-UHFFFAOYSA-N,COCCOc1cccc(N2CCN(Cc3cccc(-c4cc5nc(-c6ccco6)nn5c(N)n4)c3)CC2)c1,0.5734323
WPQGUHNRZGOCOH-UHFFFAOYSA-N,CC(C)c1nc(N2CCN(C(=O)c3ccco3)CC2)c(C#N)c2c1COC(C)(C)C2,0.46765676
MHAQFNSWCQLYOT-UHFFFAOYSA-N,CC1CCCN1CCc1ccc2nc(-c3ccc(C#N)s3)ccc2c1,0.9760726
NSUTZYWPPSGRMD-UHFFFAOYSA-N,CCCCN(CC)CCNC(=O)c1cc2cc3ccc(Cl)cc3nc2o1,0.6361386
PYHASHKYGXKFJD-UHFFFAOYSA-N,CC(C)Cn1c(N2CCN(C(=O)c3cccs3)CC2)nc2ccccc21,0.5683168
HRBZUPUFDRNIMJ-UHFFFAOYSA-N,CC1CCCN1C1CCN(c2ccc(NC(=O)c3ccc(Cl)cc3)cc2)C1,0.7351485
OASVHPVKKHWSHO-UHFFFAOYSA-N,O=C(NC(=S)NC1CCN(Cc2ccccc2)CC1)c1ccc(F)cc1,0.4297501
DBCUBSHSBILWMT-UHFFFAOYSA-N,Cc1ccc(S(=O)(=O)Nc2cccc(C(=O)NC3CCN(Cc4ccccc4)CC3)c2)cc1F,0.48762375
YGQWVNMSNMDPFQ-UHFFFAOYSA-N,COC(C)(C)c1ccc(N2CCC(Cc3ccccc3N3CCN(C)CC3)C2=O)cc1,0.8250825
AMACJRIXBHCKJL-UHFFFAOYSA-N,COc1cc(-c2cn(C3CCc4c(ccc5ccccc45)N(CC(F)(F)F)C3=O)nn2)ccc1-n1cnc(C)c1,0.8638614
FDRJBILOGUCDCY-UHFFFAOYSA-N,CCOC(=O)c1cnc2c(OC)cccc2c1NCc1cccnc1,0.41171616
UXZGNBRLGLRPRH-UHFFFAOYSA-N,O=C(NCc1cccs1)c1cc(S(=O)(=O)N2CCOCC2)c(Cl)cc1Cl,0.33663365
LTKYNKZBIUIKIZ-UHFFFAOYSA-N,CC(C)(C)OC(=O)NC(Cc1ccc(F)cc1C(F)(F)F)C(=O)NCc1nc2cccnc2n1C1(c2ccccc2)CC1,0.32514143
QVCVYPWCJYUOSF-UHFFFAOYSA-N,COCCCn1c(=N)c(C(=O)NCc2ccc3c(c2)OCO3)cc2c(=O)n3ccccc3nc21,0.45546913
WGQPJNMJBARZFD-UHFFFAOYSA-N,N#Cc1ccc(OCc2cccc(S(=O)(=O)N3CCOCC3)c2)cc1,0.5019802
YXHXLCLRRFPNLQ-UHFFFAOYSA-N,CCOc1ccccc1OCC(=O)NN1Cc2ccccc2C1=N,0.5757426
DBZMCSVIITXLCC-UHFFFAOYSA-N,CC(C)(O)c1ccc(-c2nc(-c3ccc(F)cc3)oc2Sc2ccc(Cl)cn2)cn1,0.3539604
ALCVZCRKYSWLMJ-UHFFFAOYSA-N,O=C1CN(Cc2ccc(-c3ccc(F)c(CN4CCCCC4)n3)cc2)C(=O)N1CC(F)F,0.7871287
YVYSDWDNODUQHL-UHFFFAOYSA-N,c1cc2c(cc1-c1ccc(OC3CN4CCC3CC4)nn1)CCC2,0.6006601
JAACPTLVSQHMPO-UHFFFAOYSA-N,CCOC(=O)c1ccc(NC(=S)N(CCN2CCCCCC2)Cc2ccco2)cc1,0.5767327
YQPVPIKWPWYLTD-UHFFFAOYSA-N,CSc1ccc(CN2CCC(CO)(CCOc3ccccc3)CC2)cc1,0.72359735
SPVFETZQFJTFAQ-UHFFFAOYSA-N,Cc1ccc(CN2CCN(Cc3cccc(-n4cccn4)c3)CC2CCO)cc1,0.6277228
SDBWRVJCURSACG-UHFFFAOYSA-N,Cn1c(CCN2CCCCC2)nc2cc(NS(=O)(=O)c3ccc(Cl)cc3)ccc21,0.7747525
OWNJZWDJIPHVPB-UHFFFAOYSA-N,CCC1CCCCN1CCCNC(=O)c1cn(CC)c2ccc(S(=O)(=O)N3CCc4ccccc4C3)cc2c1=O,0.50848657
JQEAVWONIQJLNL-UHFFFAOYSA-N,N=c1c(C(=O)NCC2CCCO2)cc2c(=O)n3ccccc3nc2n1C1CCCC1,0.4059406
IFBNGEQGWKVIJV-UHFFFAOYSA-N,C=CCN(C(=O)NCc1ccc(F)cc1)C1CCN(CC2CN(C(=O)C3CCCC3)CC2(O)c2ccccc2)CC1,0.4509901
QZHJZSRLDNFYRC-UHFFFAOYSA-N,O=C(c1cc(F)ccc1F)C1CCCN(Cc2cccn2-c2ccccn2)C1,0.6171617
NYBUYXYXLYTMED-UHFFFAOYSA-N,COc1cccc(OCC(O)CN2CCc3ccccc3C2)c1,0.6468647
GDYTXTQGUKGIHH-UHFFFAOYSA-N,CC(NC(=O)c1cc(S(=O)(=O)N(C)C)ccc1Cl)c1ccc(-n2ccnc2)cc1,0.4160066
MXSBMTRMDLRBKY-UHFFFAOYSA-N,Cc1ccc(-n2c(SCC(=O)NCc3cccs3)nnc2-c2ccoc2C)cc1,0.41757426
XHBJRDDJOAHADX-UHFFFAOYSA-N,COc1ccc(CCn2c(=N)c(C(=O)NC3CCCC3)cc3c(=O)n4ccccc4nc32)cc1,0.59529704
GEYKFTXYMDPNPT-UHFFFAOYSA-N,CCCn1c(=N)n(CC(O)COc2cccc(C)c2)c2ccccc21,0.6599717
RKFIEBSNVSQAJU-UHFFFAOYSA-N,CCOC(=O)N1CCC(CN2CCC3(CC2)CN(C(=O)N(CC)CC)c2ncccc23)CC1,0.70618814
KRBFPDJJGKQQAD-UHFFFAOYSA-N,Cc1c(Cl)cccc1Nc1nc(N)nc(CN2CCCCCC2)n1,0.38613862
ABUSVPPSVYCGDS-WYMLVPIESA-N,COc1cc(/C=C/c2nc(NCc3ccccc3)c3c4c(sc3n2)CCC4)ccc1-n1cnc(C)c1,0.89059407
JVGLCNLAIQFPNA-UHFFFAOYSA-N,CC1CN(c2nc(C(F)(F)F)no2)CCN1c1ncc(OCc2ccncc2C#N)cn1,0.4009901
APTWNHRYECXHPP-UHFFFAOYSA-N,Brc1ccc(CN2C3=NCCCN3c3ccccc32)cc1,0.7462871
MOZXITXIBRUEMM-UHFFFAOYSA-N,Cc1nc2c3c(c(C(=O)N(C)C)cc2n1C)CCC(c1ccc2ccccc2c1)O3,0.57755774
PYUXNNYRCHVGKZ-UHFFFAOYSA-N,O=C1OCc2cc(CCN3CCN(CCc4ccc5c(c4)COC5=O)CC3)ccc21,0.68151814
OAFBAMRSEZLVDJ-UHFFFAOYSA-N,Cc1coc(C2CC3C(C)SC(N)=NC3(c3ccc(F)cc3F)CO2)n1,0.9158416
SKLMLYILNLHCKQ-UHFFFAOYSA-N,O=S(=O)(Nc1cc(F)ccc1F)c1cccc2nonc12,0.46732673
VGZPUDOZHSTULM-UHFFFAOYSA-N,N#Cc1ccc(OCC(=O)N2CCN(S(=O)(=O)c3cccc(Cl)c3)CC2)cc1,0.5241337
DTLOIMRLQBDYSD-UHFFFAOYSA-N,Cc1ccc(Cn2c(=N)c(C(=O)NCC3CCCO3)cc3c(=O)n4cccc(C)c4nc32)cc1,0.44018152
VNSQNNPGGZXQAN-UHFFFAOYSA-N,O=c1[nH]c2ccccc2n1C1CCN(CCCOc2ccc(F)cc2)CC1,0.9719472
UESQXYVCMWWENY-UHFFFAOYSA-N,COC1OC2(CCN(Cc3ccccc3)C2)c2ccccc21,0.6460396
BSZVMKVCBNUVGR-UHFFFAOYSA-N,CC(C)(C)NC(=O)c1c[nH]c2ncc(-c3nn(CCCS(C)(=O)=O)c4ccc(OC(F)F)cc34)nc12,0.3928218
NLKZCVSXHKODTA-UHFFFAOYSA-N,O=C1CCc2cc(F)ccc2N1CCCN1CCC(n2c(=O)[nH]c3ccccc32)CC1,0.9191419
JCVYEZGDLBCUGR-UHFFFAOYSA-N,CCOC(=O)C1(CCOc2ccccc2)CCN(Cc2ccccc2OC)CC1,0.8279703
IWCSEHMFNIZJCP-UHFFFAOYSA-N,C=CCN(C(=O)Cc1ccc(OC)cc1)C1CCN(CC2CN(C(=O)C3CCCC3)CC2(O)c2ccccc2)CC1,0.48019803
WVXVZSIOYIMDMF-UHFFFAOYSA-N,Cc1occc1-c1ncc(OCC(N)Cc2c[nH]c3ccccc23)cc1-c1cnc2[nH]nc(C)c2n1,0.69448376
JUCZGNXHCDAERA-UHFFFAOYSA-N,CC1CC(OC(C)c2cc(C(F)(F)F)cc(C(F)(F)F)c2)C(c2ccc(F)cc2)CC(=O)N1,0.92574257
ZJZNOPQUDXUEDU-UHFFFAOYSA-N,Cc1ccc(CCCCN2CCCCC2)cc1,0.97722775
KCLMHEWINSXASY-UHFFFAOYSA-N,Cc1ccc2c(-c3nnc(SCCCN4CCc5nc6ccc(C(F)(F)F)cn6c5CC4)n3C)cccc2n1,0.9653465
QUFANDXAWBYANX-UHFFFAOYSA-N,COCC(C)COCc1ccc(C2(O)CCNCC2c2ccc(-c3ccccc3CCNC(C)=O)cc2C)cc1,0.9306931
IJRSEIDLNQDTRP-UHFFFAOYSA-N,COc1ccc(CN2CCC(c3nc4cc(Cl)ccc4[nH]3)CC2)cc1,0.8193069
WCGGQYSELTUNLP-UHFFFAOYSA-N,COc1ccc(CN(C)CC(=O)Nc2ccc(SC(F)F)cc2)cc1OC,0.37945545
HFHQOEKSOSBYHA-UHFFFAOYSA-N,O=C(COc1ccc(Br)cc1CNC1CCCC1)Nc1ccccc1,0.5049505
TVSQZIPXSGRTKN-UHFFFAOYSA-N,O=C(NN1CCCCC1)c1ccc2c(c1)N=C(c1ccc(Cl)s1)c1ccccc1S2,0.4950495
UYULRDAPYWFIRZ-UHFFFAOYSA-N,COCCCc1cc(CCCN2CCS(=O)(=O)CC2)c(Cl)c(CN(C(=O)C2CNCCC23OCc2cc(F)c(F)cc23)C2CC2)c1,0.8019802
DZQOOBBQCZFCNW-UHFFFAOYSA-N,COc1ccc(CCNCCCNc2c(Cl)cn[nH]c2=O)cc1OC,0.8366337
QVMYFGSETVJBSQ-UHFFFAOYSA-N,Cc1ccccc1N1CCN(CC2CCc3cccnc3C(O)C2)CC1,0.78854316
VWYHVYRXAYFNKU-UHFFFAOYSA-N,CCN(CC)CCN(C(=O)C1=COCCO1)c1nc2ccc(C)cc2s1,0.4929868
JURKNVYFZMSNLP-UHFFFAOYSA-N,CN(C)CCC=C1c2ccccc2C=Cc2ccccc21,0.94224423
PKCDDUHJAFVJJB-UHFFFAOYSA-N,CC1(O)CC(c2nc(-c3ccc4ccc(-c5ccccc5)nc4c3)c3c(N)nccn23)C1,0.4740099
PBIVNBDJISSSOF-UHFFFAOYSA-N,NC1=NC2(CO1)c1cc(-c3cncc(OCC(F)(F)F)c3)ccc1OCC21CC1,0.40965346
VRWABJBPIILMPW-UHFFFAOYSA-N,CCOC(=O)N1CCc2c(sc(NC(=O)CN3CCN(C)CC3)c2C(=O)Nc2ccccc2)C1,0.2818482
CGQMLXPJSVSKOK-UHFFFAOYSA-N,COCCNc1c(-c2cc3ccc(C)c(C)c3[nH]c2=O)nc2ccccn12,0.58877885
PRASMQLZOLEZGH-UHFFFAOYSA-N,CN1CC2CC1CN2c1ncc(-c2ccc3occc3c2)cn1,0.93564355
OLUMAWOALAGELM-UHFFFAOYSA-N,OC(COc1ccc(F)cc1Cl)CN1CCC(Cc2ccccc2)CC1,0.8921499
BCRKWGHGOSJYJB-UHFFFAOYSA-N,CCN(CC)CCN1C(=O)c2ccccc2NC1c1ccc(Br)cc1,0.8094059
YCNNKNRMQROWBW-UHFFFAOYSA-N,CCN(c1ccccc1)S(=O)(=O)c1ccc(Oc2ccc(-n3ccnc3)cc2)nc1,0.7830033
RXGAXXKHFJIDPU-UHFFFAOYSA-N,COc1ccc2ncc(F)c(CCC34CCC(NCc5nc6c(c(C)c5C(C)C)OCC(=O)N6)(CC3)CO4)c2n1,0.93564355
